node_id,pt_root_id,nucleus_id,cell_type,x,y,z
665,864691135346685855,192536,4P,585344.0,609600.0,802960.0
666,864691136040834558,225820,4P,592768.0,621376.0,765840.0
667,864691137199050049,194481,4P,558720.0,672192.0,761040.0
668,864691135570791558,395176,4P,926208.0,576576.0,973400.0
669,864691136086088556,361588,4P,864960.0,571072.0,912000.0
670,864691136905203378,427884,4P,984064.0,655488.0,727760.0
671,864691136363473634,428164,4P,988992.0,664704.0,787480.0
672,864691136107486169,424084,4P,996800.0,560320.0,891360.0
673,864691136092725684,296556,4P,774016.0,588672.0,825880.0
674,864691135342848433,194171,4P,560256.0,683264.0,714720.0
675,864691136311529306,425525,4P,989952.0,610304.0,731200.0
676,864691135101595680,298610,4P,777664.0,680512.0,760320.0
677,864691135134114976,428660,4P,1009280.0,647168.0,929080.0
678,864691136196338764,366165,4P,888960.0,641280.0,973680.0
679,864691136991606421,394228,4P,962176.0,581248.0,745240.0
680,864691134886569210,365589,4P,914112.0,669440.0,804560.0
681,864691136125433894,363529,4P,895168.0,585216.0,861840.0
682,864691135066958404,263209,4P,674048.0,656960.0,974400.0
683,864691135374981320,330802,4P,816576.0,625152.0,957160.0
684,864691135336113129,333227,4P,786560.0,657728.0,921280.0
685,864691135510593289,262604,4P,661504.0,673408.0,841760.0
686,864691135742102635,329860,4P,791296.0,625216.0,725040.0
687,864691136101516661,395083,4P,925504.0,623232.0,946440.0
688,864691136523335057,330597,4P,840128.0,623104.0,874160.0
689,864691135067066948,192925,4P,582592.0,617792.0,880360.0
690,864691135942924148,363826,4P,862272.0,625024.0,946760.0
691,864691136125457446,228115,4P,623808.0,667712.0,832400.0
692,864691135503163202,192995,4P,557056.0,626368.0,915680.0
693,864691135839248787,192020,4P,538688.0,629632.0,735120.0
694,864691135742189163,394030,4P,927936.0,607296.0,709000.0
695,864691135293605558,363677,4P,898560.0,630080.0,888000.0
696,864691135014696182,269596,6P-IT,692032.0,854016.0,926840.0
697,864691134966069023,329980,4P,839808.0,616960.0,728120.0
698,864691136975332380,227502,4P,612480.0,670208.0,711040.0
699,864691137199038273,262355,4P,702592.0,683008.0,771560.0
700,864691135591041291,222998,23P,644672.0,473984.0,919880.0
701,864691136914445809,292656,23P,744000.0,482560.0,830440.0
702,864691135726140843,260521,4P,689472.0,608832.0,831120.0
703,864691135617152361,301095,5P-IT,740608.0,741376.0,850200.0
704,864691135430356784,301112,5P-IT,761856.0,714688.0,859560.0
705,864691136210743740,264893,5P-IT,683648.0,761792.0,848960.0
706,864691136674495623,300955,5P-IT,742272.0,724160.0,819520.0
707,864691135572346349,264719,5P-IT,707264.0,721088.0,806080.0
708,864691135849300318,303002,5P-IT,767744.0,828096.0,829960.0
709,864691135351066583,256517,23P,686912.0,467264.0,848440.0
710,864691135346975135,303169,5P-IT,761408.0,800640.0,889080.0
711,864691135778288573,269380,6P-IT,672064.0,865152.0,861360.0
712,864691137055840886,306962,6P-CT,727296.0,946432.0,895920.0
713,864691136620192653,264932,5P-IT,713920.0,755328.0,844040.0
714,864691136991390869,335175,5P-IT,795520.0,755456.0,790520.0
715,864691135572576237,256638,23P,703168.0,465024.0,877000.0
716,864691136445215875,291110,23P,733312.0,433600.0,842280.0
717,864691136195400150,223037,23P,608128.0,444288.0,950880.0
718,864691135464263742,267165,5P-IT,679168.0,787456.0,860160.0
719,864691135763795510,363845,4P,880384.0,613056.0,952000.0
720,864691136579127060,232635,5P-ET,609088.0,796928.0,863880.0
721,864691135890695049,192278,4P,569792.0,619200.0,767160.0
722,864691135578360837,330600,4P,838272.0,602624.0,903760.0
723,864691135517376211,303216,5P-ET,751360.0,828928.0,907200.0
724,864691135405138670,397219,4P,923584.0,650752.0,986000.0
725,864691135503182685,267029,5P-ET,692032.0,823424.0,815640.0
726,864691135464714565,527784,5P-ET,1241536.0,760640.0,981000.0
727,864691135988742147,394760,4P,954496.0,632192.0,871400.0
728,864691135134155168,553216,23P,1283136.0,498624.0,777800.0
729,864691135773209163,299318,4P,767040.0,669184.0,946400.0
730,864691136523288465,330172,4P,792064.0,608896.0,797520.0
731,864691135157994084,301319,5P-IT,754944.0,715712.0,905160.0
732,864691136967703758,296207,4P,768256.0,601344.0,727280.0
733,864691136390183696,332199,4P,809408.0,672064.0,712600.0
734,864691135773208651,365621,4P,872576.0,694016.0,837760.0
735,864691136210847932,194361,4P,572544.0,662784.0,730240.0
736,864691136239460668,305068,6P-IT,759872.0,848000.0,895720.0
737,864691136091074615,330853,4P,848512.0,629056.0,951280.0
738,864691135640544571,303144,5P-ET,741056.0,792768.0,887520.0
739,864691135566168599,303095,5P-ET,766976.0,805760.0,864240.0
740,864691136391042167,296528,4P,744320.0,593152.0,837320.0
741,864691135272003237,292725,23P,740800.0,470976.0,861280.0
742,864691135948123745,267307,5P-ET,708480.0,789824.0,885080.0
743,864691135702061947,306978,6P-IT,742848.0,925760.0,903440.0
744,864691135941549825,306956,6P-IT,723008.0,927872.0,881720.0
745,864691135989149187,307006,6P-IT,754880.0,917504.0,880640.0
746,864691135335855337,195369,4P,546304.0,674048.0,970280.0
747,864691135970206821,556224,4P,1292544.0,596480.0,729160.0
748,864691135502902338,432201,6P-IT,1031552.0,820800.0,782640.0
749,864691135594817067,234165,6P-CT,597056.0,877248.0,773600.0
750,864691136603171281,457858,4P,1076928.0,579200.0,930680.0
751,864691135375590217,363867,4P,904192.0,618880.0,944680.0
752,864691136914541041,262996,4P,674816.0,702144.0,904800.0
753,864691135741659499,493796,4P,1158720.0,645056.0,991640.0
754,864691135741684075,612794,4P,1419968.0,570112.0,929240.0
755,864691135970497125,399355,5P-IT,919424.0,753216.0,930440.0
756,864691136119885080,361632,23P,897344.0,555456.0,912200.0
757,864691135498992403,612577,4P,1381440.0,571456.0,857400.0
758,864691135304679079,192966,4P,535104.0,609280.0,928760.0
759,864691135539491442,426596,4P,1030848.0,582912.0,976160.0
760,864691135101431072,256702,23P,663872.0,450880.0,915440.0
761,864691135477670312,396756,4P,944384.0,692672.0,867080.0
762,864691135740865684,520348,4P,1195712.0,570304.0,899240.0
763,864691136904488114,368011,5P-IT,917056.0,712128.0,869120.0
764,864691135927494158,394398,4P,935424.0,579520.0,784080.0
765,864691135209194617,391352,23P,980352.0,458176.0,958880.0
766,864691135868466710,333230,4P,787904.0,673152.0,908440.0
767,864691135408808649,324476,23P,799424.0,421824.0,951920.0
768,864691135408788169,298762,4P,780352.0,649472.0,781360.0
769,864691135511802576,587235,5P-IT,1346432.0,703104.0,726640.0
770,864691135772920651,459186,5P-IT,1068160.0,684480.0,732400.0
771,864691136090632503,493398,5P-ET,1156992.0,704192.0,882040.0
772,864691135700814114,234684,6P-CT,649216.0,875200.0,886320.0
773,864691135591854347,399282,5P-IT,934016.0,735488.0,899560.0
774,864691135970180709,222507,23P,628416.0,468288.0,765200.0
775,864691136380266965,426549,4P,1001664.0,598848.0,982040.0
776,864691135495698832,359237,23P,873408.0,508608.0,774280.0
777,864691136110256824,325900,23P,813376.0,448256.0,772560.0
778,864691136452602367,294431,23P,777856.0,537984.0,789000.0
779,864691135778414176,490761,4P,1145024.0,598272.0,806800.0
780,864691135586724220,335440,5P-IT,805568.0,730496.0,866640.0
781,864691135566155351,531133,5P-ET,1208896.0,780928.0,907040.0
782,864691135939008565,188961,23P,574464.0,504256.0,890960.0
783,864691135578146565,396122,5P-IT,941312.0,682944.0,713680.0
784,864691136420279191,256935,23P,681600.0,458304.0,977680.0
785,864691135919749808,309269,6P-CT,764736.0,983168.0,929520.0
786,864691136742372956,309483,6P-CT,744000.0,1002816.0,994400.0
787,864691135738266500,309258,6P-CT,756928.0,997568.0,931080.0
788,864691135585503864,309563,6P-IT,780992.0,999808.0,984400.0
789,864691136195537366,309393,6P-CT,766528.0,1016320.0,964280.0
790,864691135763362102,298828,4P,767104.0,703296.0,816160.0
791,864691135970292837,309640,6P-IT,751488.0,1031744.0,1015040.0
792,864691135510267401,344555,6P-CT,798016.0,1001856.0,989440.0
793,864691135970293349,344436,6P-IT,794304.0,1003456.0,965320.0
794,864691136287879619,309296,6P-CT,781504.0,970048.0,928920.0
795,864691135970293605,307141,6P-CT,774272.0,944448.0,920360.0
796,864691136363161570,342231,6P-IT,789504.0,951616.0,923320.0
797,864691135469807954,307069,6P-CT,785536.0,916672.0,875640.0
798,864691135763364662,309405,6P-IT,772352.0,985664.0,959400.0
799,864691135594982187,262673,4P,687616.0,665216.0,830880.0
800,864691135842486243,294715,23P,761280.0,539968.0,878000.0
801,864691135838916755,258216,23P,686592.0,511616.0,823760.0
802,864691135409940425,294860,23P,770880.0,524928.0,905000.0
803,864691136137237899,258222,23P,693504.0,523008.0,828000.0
804,864691135276504549,256519,23P,687488.0,467456.0,860360.0
805,864691135853055175,256473,23P,719552.0,466752.0,820360.0
806,864691136238679567,258352,23P,676608.0,540544.0,881120.0
807,864691135417307322,309220,6P-IT,734272.0,972288.0,931080.0
808,864691135694421439,304981,6P-IT,763712.0,876288.0,852560.0
809,864691135014681590,306964,6P-IT,729344.0,924160.0,889640.0
810,864691136195901772,342233,6P-CT,792896.0,914048.0,916240.0
811,864691135447312274,301224,5P-IT,755328.0,717632.0,890880.0
812,864691135123833127,307237,6P-IT,776768.0,939712.0,955880.0
813,864691135942730612,307234,6P-CT,769664.0,950720.0,954440.0
814,864691135773240571,307067,6P-IT,785024.0,943680.0,881760.0
815,864691136335213235,271901,6P-CT,720000.0,907456.0,948960.0
816,864691135591726603,299071,4P,748864.0,704256.0,898240.0
817,864691135782330192,342338,6P-IT,796032.0,944960.0,960720.0
818,864691134949041148,309331,6P-IT,728000.0,1002304.0,939920.0
819,864691135948150625,342244,6P-CT,802624.0,960512.0,934800.0
820,864691135133991072,309384,6P-CT,759744.0,971648.0,959320.0
821,864691135838738579,271889,6P-CT,711360.0,947328.0,963840.0
822,864691135866279900,309253,6P-CT,750528.0,973952.0,913640.0
823,864691136904967346,272001,6P-CT,710848.0,954944.0,971640.0
824,864691136596177570,307130,6P-CT,760832.0,936960.0,927280.0
825,864691135684809458,309459,6P-IT,726720.0,1007488.0,984800.0
826,864691135786943684,305227,6P-CT,761856.0,896704.0,919800.0
827,864691136906067890,256600,23P,676032.0,503488.0,889680.0
828,864691136926764362,307035,6P-IT,765056.0,942528.0,873920.0
829,864691136814508659,262816,4P,705024.0,695488.0,866200.0
830,864691135919956656,294565,23P,744640.0,545920.0,854160.0
831,864691135493665631,298956,4P,766464.0,647680.0,869640.0
832,864691134918921738,296928,4P,769088.0,594752.0,904760.0
833,864691135209432185,260603,23P,680768.0,591936.0,853400.0
834,864691135760106830,296734,4P,727680.0,619520.0,903160.0
835,864691135465343045,296668,4P,764352.0,637440.0,868360.0
836,864691135384292843,296661,4P,757632.0,612032.0,859680.0
837,864691135939017525,262782,4P,681216.0,654656.0,853400.0
838,864691135976028015,307312,6P-IT,756800.0,965824.0,977040.0
839,864691136042515798,342111,6P-IT,794880.0,939840.0,898240.0
840,864691135234582361,309396,6P-CT,769088.0,998912.0,956880.0
841,864691135059954075,309579,6P-IT,785216.0,968768.0,974040.0
842,864691135566274391,273961,6P-CT,716032.0,973120.0,924960.0
843,864691136311451226,307078,6P-IT,726656.0,915008.0,909360.0
844,864691135360300632,304994,6P-IT,773120.0,879680.0,857960.0
845,864691135817195343,269576,6P-IT,686912.0,867008.0,920320.0
846,864691135324437916,269714,6P-IT,706304.0,894272.0,935320.0
847,864691135778465376,342110,6P-IT,793792.0,952064.0,894920.0
848,864691135993274305,309206,6P-IT,728448.0,982912.0,923720.0
